pH,oxid,NO3,hard,dry,Cl,SO4,Fe,F,Cu,NSF,CCME,WA,DWA,NSFn,CCMEn,WAn,DWAn
7.9,1.6,9.3,10.1,1386.4,210.5,153.2,0.1,0.08,0.11,Marginal,Good,Good,Marginal,36,92,86,49
7.9,1.9,9.9,13.2,1589.2,275.1,204.6,0.12,0.14,0.18,Marginal,Good,Fair,Marginal,35,92,79,43
7.7,1.7,9.6,11.2,1522.8,262.3,168.5,0.16,0.14,0.12,Marginal,Good,Good,Marginal,36,92,81,45
8.3,1.8,9.5,13.5,1569.9,270.2,206.8,0.11,0.16,0.15,Marginal,Good,Fair,Marginal,35,92,79,41
7.6,1.5,9.7,10.9,1022.3,221.0,272.2,0.09,0.15,0.19,Marginal,Good,Fair,Fair,36,92,78,51
7.8,1.8,9.8,12.1,1580.1,266.0,296.2,0.1,0.11,0.17,Marginal,Good,Good,Marginal,35,92,82,42
7.7,2.2,9.8,12.4,1428.7,297.0,289.6,0.2,0.14,0.16,Marginal,Good,Fair,Marginal,34,92,80,42
8.7,2.5,9.6,13.6,1479.2,294.8,293.4,0.16,0.15,0.14,Poor,Good,Fair,Marginal,24,92,76,36
7.4,2.7,10.8,18.5,1590.0,297.5,368.4,0.2,0.1,0.2,Poor,Good,Fair,Marginal,24,91,80,40
8.2,2.8,12.5,16.5,1543.2,45.5,389.4,0.3,0.05,0.3,Marginal,Good,Good,Marginal,31,91,81,42
7.6,2.6,14.2,21.3,1560.0,356.0,272.0,0.18,0.14,0.19,Marginal,Good,Fair,Marginal,30,90,79,38
6.9,2.5,10.3,18.7,1548.4,260.0,320.0,0.11,0.11,0.13,Poor,Good,Good,Marginal,24,91,81,44
7.5,2.1,9.9,13.8,1510.3,206.0,321.6,0.11,0.07,0.12,Marginal,Good,Good,Marginal,34,92,86,45
7.8,2.4,13.2,11.6,1545.0,210.0,230.4,0.05,0.08,0.08,Marginal,Good,Good,Marginal,33,92,87,46
7.7,1.8,13.6,10.6,1570.0,143.5,158.4,0.07,0.06,0.06,Marginal,Good,Good,Marginal,35,92,89,50
7.9,2.7,12.4,13.9,1690.0,140.6,168.3,0.07,0.05,0.08,Marginal,Good,Good,Marginal,32,91,89,48
8.5,2.85,14.3,14.0,1625.0,356.0,345.0,0.24,0.33,0.33,Poor,Good,Fair,Marginal,29,91,60,31
8.0,2.75,16.3,13.0,1550.0,353.0,395.4,0.25,0.32,0.31,Marginal,Good,Fair,Marginal,30,92,61,32
8.3,2.86,12.7,14.0,1590.0,351.0,378.0,0.29,0.31,0.3,Marginal,Good,Fair,Marginal,30,91,62,31
8.0,2.9,11.9,14.0,1623.0,355.0,458.0,0.33,0.34,0.32,Marginal,Good,Fair,Marginal,30,91,60,30
8.7,4.4,15.6,18.0,1990.0,520.0,358.1,0.28,0.19,0.2,Poor,Good,Fair,Poor,15,89,70,30
8.9,4.0,14.0,15.0,1836.0,412.0,504.1,0.26,0.18,0.19,Poor,Good,Fair,Poor,17,91,71,25
8.0,3.6,12.2,14.0,1597.0,356.0,477.3,0.25,0.17,0.16,Poor,Good,Fair,Marginal,28,91,77,31
8.9,4.3,14.9,29.0,1890.0,451.0,456.4,0.27,0.18,0.18,Poor,Good,Fair,Poor,14,86,72,26
8.5,2.21,11.8,19.0,1708.0,385.0,458.1,0.19,0.2,0.19,Marginal,Good,Fair,Poor,32,90,74,30
8.0,2.2,13.0,17.0,1602.0,361.0,534.1,0.16,0.1,0.17,Marginal,Good,Good,Marginal,33,91,82,31
7.5,2.19,12.7,16.0,1500.0,352.0,397.3,0.15,0.4,0.16,Marginal,Good,Fair,Marginal,31,91,61,33
8.3,2.22,10.4,18.0,1623.0,374.0,356.0,0.18,0.2,0.18,Marginal,Good,Fair,Marginal,32,90,75,34
8.5,3.5,14.0,18.0,1550.0,359.0,450.0,0.29,0.32,0.33,Poor,Good,Fair,Poor,27,91,60,28
8.0,2.9,13.0,12.0,2100.0,352.0,410.0,0.28,0.31,0.3,Marginal,Good,Fair,Marginal,30,91,62,32
7.5,2.6,9.0,15.0,1550.0,351.0,450.0,0.26,0.25,0.28,Marginal,Good,Fair,Marginal,32,91,68,33
8.2,3.3,13.0,22.0,2430.0,357.0,570.0,0.29,0.31,0.29,Poor,Good,Fair,Poor,27,87,63,28
7.5,4.18,7.9,20.3,3027.0,621.0,570.0,0.3,0.37,0.34,Poor,Good,Fair,Poor,25,84,56,29
7.5,3.2,14.0,9.5,910.0,347.0,420.0,0.18,0.19,0.18,Marginal,Good,Fair,Marginal,30,100,75,41
6.0,5.12,12.6,9.7,940.0,345.0,427.0,0.18,0.16,0.15,Poor,Good,Fair,Marginal,12,100,75,38
7.5,2.1,13.3,22.0,2710.0,574.0,590.0,0.15,0.11,0.15,Marginal,Good,Good,Marginal,32,85,82,32
8.5,3.5,14.0,18.0,2400.0,359.0,450.0,0.29,0.32,0.33,Poor,Good,Fair,Poor,27,89,60,28
8.0,2.9,13.0,12.0,2100.0,352.0,410.0,0.28,0.31,0.3,Marginal,Good,Fair,Marginal,30,91,62,32
7.5,2.6,9.0,15.0,1550.0,351.0,450.0,0.26,0.25,0.28,Marginal,Good,Fair,Marginal,32,91,68,33
8.2,3.3,13.0,22.0,2430.0,357.0,570.0,0.29,0.31,0.29,Poor,Good,Fair,Poor,27,87,63,28
