Location,CHL,DPX,MRP,DIN,AMN,BOD,pH,TEMP,TON,TRAN
UP,14.2,128,0.057,1.208,1.5,7,9,25,2,5
LOW,0,72,0,0,0,0,5,0,0,1
NSF(weight),0,0.17,0.1,0,0,0.1,0.11,0.05,0.1,0
WQM(weight),0.109,0,0.044,0.228,0.073,0.02,0,0.156,0,0.37
Max,10.433,136.2,0.064,6.021,0.26,3.55,8.3,16.9,6,5.6
Min,1,69.33,0.007,0.038,0.02,0,7.6,13.9,0,0
LE030  ,1,69.33,0.011,3.423,0.26,1.37,7.6,15,3.17,0
LE040  ,1.9,103.3,0.011,2.258,0.06,3.55,7.9,15.43,2.2,0
LE110  ,2.033,98,0.015,1.992,0.025,1.3,7.7,16.8,1.97,0
LE120  ,1.45,93.33,0.018,2.64,0.039,1.33,7.7,16.13,2.6,0
LE130  ,2.5,89.33,0.028,2.394,0.06,1.25,7.8,15.83,2.3,1.5
LE140  ,2.067,93.33,0.025,2.357,0.057,1.2,7.7,15.53,2.3,0
LE150  ,4.283,90.17,0.025,1.001,0.11,1.86,7.8,15.83,0.89,2.18
LE160  ,3.25,88.83,0.027,1.105,0.16,0,7.8,15.75,0.95,2.26
LE170  ,7.518,102,0.019,0.731,0.12,2,7.9,15.84,0.65,1.77
LE180  ,7.8,109.2,0.014,0.709,0.1,0,8.1,15.68,0.61,1.9
LE200  ,2.6,101.3,0.064,6.021,0.021,1.9,7.7,14.83,6,0
LE210  ,2,103,0.046,4.587,0.02,0,7.8,14.77,4.57,0
LE220  ,5.967,101,0.023,1.351,0.068,2.17,7.9,16.6,1.28,0.75
LE310  ,7.6,112.5,0.015,0.584,0.09,2.48,8.3,15.7,0.14,1.53
LE330  ,9.442,123.7,0.011,0.246,0.11,2.38,8.3,15.82,0.14,1.65
LE340  ,10.233,121.3,0.011,0.234,0.09,2.48,8.3,15.7,0.14,1.53
LE380  ,10.433,119.5,0.008,0.12,0.056,2.55,8.2,15.57,0.064,1.83
LE420  ,8.85,136.2,0.022,0.092,0.035,2.7,8.3,16.6,0.057,1.53
LE430  ,9.6,130.8,0.012,0.077,0.028,2.25,8.3,16.17,0.048,1.8
LE450  ,7.65,120.7,0.034,0.076,0.036,1.1,8.23,15.4,0.04,2.3
LE500  ,3.15,106.7,0.024,4.861,0.027,2,7.8,16.27,4.83,0
LE505  ,1.8,104.3,0.021,5.186,0.19,1.3,7.8,15.07,5.17,0
LE510  ,9.82,133.2,0.02,2.382,0.064,3.2,8.2,16.9,2.318,1.05
LE540  ,9.8,124,0.008,0.066,0.03,1.1,8.3,15.65,0.036,2.03
LE550  ,6.467,121.8,0.013,0.075,0.038,2.48,8.2,15.73,0.037,2.23
LE620  ,5.06,110.3,0.007,0.052,0.04,1.68,8.2,14.5,0.017,3.87
LE630  ,4.175,105.3,0.014,0.064,0.036,2,8.2,14.17,0.28,3.4
LE810  ,3.167,113.7,0.018,0.056,0.031,1.65,8.2,14.8,0.026,5.6
LE820  ,2.7,103,0.017,0.038,0.038,1.1,8.1,13.9,0,4.83
