Location,year,month, pH,oxid ,NO3,hard,dry,Cl,SO4,Fe,F,Cu
,,UP,9,10,45,10,1500,350,500,10,0.7,1
,,LOW,5,0,0,0,0,0,0,0,0,0
,,NSF(weight),0.11,0.17,0.05,0.07,0,0,0,0,0.05,0
,,MCSGP,7,0,0,0,0,0,0,0,0,0
,,Max,9.5,5.12,22.7,50,3027,893.5,768,1.8,1.14,2.6
,,Min,6,0.12,0.661,2,1.010932476,45.5,1.021818182,0.01,0,0
Bo'ston,2020,Fevral ,7.9,1.6,9.3,10.1,1386.4,210.5,153.2,0.1,0.08,0.11
Bo'ston,2020,May,7.9,1.9,9.9,13.2,1589.2,275.1,204.6,0.12,0.14,0.18
Bo'ston,2020,Avgust,7.7,1.7,9.6,11.2,1522.8,262.3,168.5,0.16,0.14,0.12
Bo'ston,2020,Noyabr ,8.3,1.8,9.5,13.5,1569.9,270.2,206.8,0.11,0.16,0.15
Bo'ston,2021,Fevral ,7.6,1.5,9.7,10.9,1022.3,221,272.2,0.09,0.15,0.19
Bo'ston,2021,May,7.8,1.8,9.8,12.1,1580.1,266,296.2,0.1,0.11,0.17
Bo'ston,2021,Avgust,7.7,2.2,9.8,12.4,1428.7,297,289.6,0.2,0.14,0.16
Bo'ston,2021,Noyabr ,8.7,2.5,9.6,13.6,1479.2,294.8,293.4,0.16,0.15,0.14
Bo'ston,2022,Fevral ,7.4,2.7,10.8,18.5,1590,297.5,368.4,0.2,0.1,0.2
Bo'ston,2022,May,8.2,2.8,12.5,16.5,1543.2,45.5,389.4,0.3,0.05,0.3
Bo'ston,2022,Avgust,7.6,2.6,14.2,21.3,1560,356,272,0.18,0.14,0.19
Bo'ston,2022,Noyabr ,6.9,2.5,10.3,18.7,1548.4,260,320,0.11,0.11,0.13
Bo'ston,2023,Fevral ,7.5,2.1,9.9,13.8,1510.3,206,321.6,0.11,0.07,0.12
Bo'ston,2023,May,7.8,2.4,13.2,11.6,1545,210,230.4,0.05,0.08,0.08
Bo'ston,2023,Avgust,7.7,1.8,13.6,10.6,1570,143.5,158.4,0.07,0.06,0.06
Bo'ston,2023,Noyabr ,7.9,2.7,12.4,13.9,1690,140.6,168.3,0.07,0.05,0.08
Ellik_qala,2017,Fevral ,8.5,2.85,14.3,14,1625,356,345,0.24,0.33,0.33
Ellik_qala,2017,May,8,2.75,16.3,13,1550,353,395.4,0.25,0.32,0.31
Ellik_qala,2017,Avgust,8.3,2.86,12.7,14,1590,351,378,0.29,0.31,0.3
Ellik_qala,2017,Noyabr ,8,2.9,11.9,14,1623,355,458,0.33,0.34,0.32
Ellik_qala,2018,Fevral ,8.7,4.4,15.6,18,1990,520,358.1,0.28,0.19,0.2
Ellik_qala,2018,May,8.9,4,14,15,1836,412,504.1,0.26,0.18,0.19
Ellik_qala,2018,Avgust,8,3.6,12.2,14,1597,356,477.3,0.25,0.17,0.16
Ellik_qala,2018,Noyabr ,8.9,4.3,14.9,29,1890,451,456.4,0.27,0.18,0.18
Ellik_qala,2019,Fevral ,8.5,2.21,11.8,19,1708,385,458.1,0.19,0.2,0.19
Ellik_qala,2019,May,8,2.2,13,17,1602,361,534.1,0.16,0.1,0.17
Ellik_qala,2019,Avgust,7.5,2.19,12.7,16,1500,352,397.3,0.15,0.4,0.16
Ellik_qala,2019,Noyabr ,8.3,2.22,10.4,18,1623,374,356,0.18,0.2,0.18
Ellik_qala,2020,Fevral ,8.5,3.5,14,18,1550,359,450,0.29,0.32,0.33
Ellik_qala,2020,May,8,2.9,13,12,2100,352,410,0.28,0.31,0.3
Ellik_qala,2020,Avgust,7.5,2.6,9,15,1550,351,450,0.26,0.25,0.28
Ellik_qala,2020,Noyabr ,8.2,3.3,13,22,2430,357,570,0.29,0.31,0.29
Ellik_qala,2021,Fevral ,7.5,4.18,7.9,20.3,3027,621,570,0.3,0.37,0.34
Ellik_qala,2021,May,7.5,3.2,14,9.5,910,347,420,0.18,0.19,0.18
Ellik_qala,2021,Avgust,6,5.12,12.6,9.7,940,345,427,0.18,0.16,0.15
Ellik_qala,2021,Noyabr ,7.5,2.1,13.3,22,2710,574,590,0.15,0.11,0.15
Ellik_qala,2022,Fevral ,8.5,3.5,14,18,2400,359,450,0.29,0.32,0.33
Ellik_qala,2022,May,8,2.9,13,12,2100,352,410,0.28,0.31,0.3
Ellik_qala,2022,Avgust,7.5,2.6,9,15,1550,351,450,0.26,0.25,0.28
Ellik_qala,2022,Noyabr ,8.2,3.3,13,22,2430,357,570,0.29,0.31,0.29
Ellik_qala,2023,Fevral ,8.5,4.3,9,15.3,2600,367,679,0.12,0.42,0.29
Ellik_qala,2023,May,8,2.9,13,12,2100,352,410,0.28,0.31,0.3
Ellik_qala,2023,Avgust,7.5,2.6,9,15,1550,351,450,0.26,0.25,0.28
Ellik_qala,2023,Noyabr ,8.2,3.3,13,22,2430,357,570,0.29,0.31,0.29
Ellik_qala,2024,Fevral ,9.3,4.1,9,17,2400,370,450,0.1,0.32,0.12
Ellik_qala,2024,May,8.9,4.6,9,15,2100,352,410,0.17,0.41,0.14
Ellik_qala,2024,Avgust,9.5,4.4,9,13.3,1550,351,450,0.15,0.25,0.43
Turtkul,2019,May,6.89,2.1,2.3,15.68,1085,234.3,149.8,0.01,0.23,0.219
Turtkul,2019,Avgust,6.8375,2.1,2.25,19.375,1122.5,262.25,149.875,0.01,0.27625,0.19
Turtkul,2022,Fevral ,6.65,0.24,10.25,16.65,1066.666667,233.3333333,126,0.233333333,0.23,0.228
Turtkul,2022,May,7.05,1.25,10.3,22.68,1110,216.5,124.8,0.145,0.199,0.21
Turtkul,2022,Avgust,6,0.22,10.2,31,1100,230,132,0.25,0.3,0.32
Turtkul,2022,Noyabr ,6.871428571,0.32,10.6,26.5,1200,230,132,0.3,0.34,0.22
Turtkul,2023,Fevral ,6.7,0.22,10.2,26.5,1100,202,142,0.2,0.3,0.2
Turtkul,2023,May,6.8,0.18,10.3,14.2,900,203,123,0.1,0.21,0.21
Turtkul,2023,Avgust,7,0.32,10.2,14.1,1000,213,125,0.1,0.21,0.19
Turtkul,2023,Noyabr ,7.3,0.12,9.6,16,1200,235,133,0.1,0.34,0.21
Nukus,2022,Fevral ,8,2.2,1.35,16.5,1678.3,893.5,356,0.2,0.26,0.34
Nukus,2022,May,8.5,2.1,1.28,27.35,2800,674.7,280,0.3,0.23,0.93
Nukus,2022,Avgust,7.5,2.1,1.2,17.8,1600,420,500,0.78,0.57,0.81
Nukus,2022,Noyabr ,6.8,2.1,0.661,10,1700,344,410,0.2,0.32,0.09
Nukus,2023,Fevral ,7,2,1.8,24.8,2000,704.47,450,0.77,0.24,1.4
Nukus,2023,May,8,2,1.59,42.22,2000,545.4,482,0.65,0.21,1.3
Nukus,2023,Avgust,6.5,2,4.2,12.5,1900,869.4,360,0.1,0.74,2.6
Nukus,2023,Noyabr ,7.2,2,22.7,9.5,1800,432.1,768,1.8,1.03,0.9599
Nukus,2024,Fevral ,7.6,2,15,16,2000,516.12,440,0.3,1.14,1.3
